1.00
1.40
0.10
  1306
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
   1042       0.410718     25996.     6.98797E-01     7.29402E-07     9.49004E-01
   1041       0.410741     25993.     6.98753E-01     7.29797E-07     9.49058E-01
   1040       0.410765     25990.     6.98709E-01     7.30192E-07     9.49112E-01
   1039       0.410788     25988.     6.98664E-01     7.30587E-07     9.49167E-01
   1038       0.410812     25985.     6.98618E-01     7.30981E-07     9.49221E-01
   1037       0.410835     25982.     6.98572E-01     7.31376E-07     9.49275E-01
   1036       0.410859     25979.     6.98525E-01     7.31770E-07     9.49329E-01
   1035       0.410882     25977.     6.98478E-01     7.32163E-07     9.49384E-01
   1034       0.410906     25974.     6.98429E-01     7.32557E-07     9.49438E-01
   1033       0.410929     25971.     6.98380E-01     7.32950E-07     9.49492E-01
   1032       0.410953     25968.     6.98331E-01     7.33343E-07     9.49546E-01
   1031       0.410976     25966.     6.98281E-01     7.33735E-07     9.49601E-01
   1030       0.411000     25963.     6.98230E-01     7.34127E-07     9.49655E-01
   1029       0.411023     25960.     6.98178E-01     7.34520E-07     9.49709E-01
   1028       0.411046     25957.     6.98126E-01     7.34911E-07     9.49763E-01
   1027       0.411070     25955.     6.98073E-01     7.35303E-07     9.49818E-01
   1026       0.411093     25952.     6.98020E-01     7.35694E-07     9.49872E-01
   1025       0.411117     25949.     6.97966E-01     7.36085E-07     9.49926E-01
   1024       0.411140     25946.     6.97911E-01     7.36476E-07     9.49981E-01
   1023       0.411164     25944.     6.97855E-01     7.36866E-07     9.50035E-01
   1022       0.411187     25941.     6.97799E-01     7.37256E-07     9.50089E-01
   1021       0.411211     25938.     6.97742E-01     7.37646E-07     9.50143E-01
   1020       0.411234     25936.     6.97685E-01     7.38036E-07     9.50198E-01
   1019       0.411258     25933.     6.97627E-01     7.38425E-07     9.50252E-01
   1018       0.411281     25930.     6.97568E-01     7.38814E-07     9.50306E-01
   1017       0.411305     25927.     6.97508E-01     7.39203E-07     9.50361E-01
   1016       0.411328     25925.     6.97448E-01     7.39591E-07     9.50415E-01
   1015       0.411352     25922.     6.97388E-01     7.39979E-07     9.50469E-01
   1014       0.411375     25919.     6.97326E-01     7.40367E-07     9.50524E-01
   1013       0.411399     25917.     6.97264E-01     7.40755E-07     9.50578E-01
   1012       0.411422     25914.     6.97201E-01     7.41143E-07     9.50632E-01
   1011       0.411446     25911.     6.97138E-01     7.41530E-07     9.50687E-01
   1010       0.411469     25908.     6.97074E-01     7.41917E-07     9.50741E-01
   1009       0.411493     25906.     6.97009E-01     7.42303E-07     9.50795E-01
   1008       0.411517     25903.     6.96944E-01     7.42690E-07     9.50849E-01
   1007       0.411540     25900.     6.96878E-01     7.43076E-07     9.50904E-01
   1006       0.411564     25898.     6.96811E-01     7.43462E-07     9.50958E-01
   1005       0.411587     25895.     6.96744E-01     7.43847E-07     9.51013E-01
   1004       0.411611     25892.     6.96675E-01     7.44232E-07     9.51067E-01
   1003       0.411634     25890.     6.96607E-01     7.44618E-07     9.51121E-01
   1002       0.411658     25887.     6.96537E-01     7.45002E-07     9.51176E-01
   1001       0.411681     25884.     6.96467E-01     7.45387E-07     9.51230E-01
   1000       0.411705     25882.     6.96397E-01     7.45771E-07     9.51284E-01
    999       0.411728     25879.     6.96325E-01     7.46155E-07     9.51339E-01
    998       0.411752     25876.     6.96253E-01     7.46539E-07     9.51393E-01
    997       0.411775     25874.     6.96181E-01     7.46922E-07     9.51447E-01
    996       0.411799     25871.     6.96107E-01     7.47305E-07     9.51502E-01
    995       0.411822     25868.     6.96033E-01     7.47688E-07     9.51556E-01
    994       0.411846     25866.     6.95958E-01     7.48071E-07     9.51610E-01
    993       0.411869     25863.     6.95883E-01     7.48453E-07     9.51665E-01
    992       0.411893     25860.     6.95807E-01     7.48836E-07     9.51719E-01
    991       0.411916     25858.     6.95730E-01     7.49217E-07     9.51774E-01
    990       0.411940     25855.     6.95653E-01     7.49599E-07     9.51828E-01
    989       0.411964     25853.     6.95575E-01     7.49980E-07     9.51882E-01
    988       0.411987     25850.     6.95496E-01     7.50361E-07     9.51937E-01
    987       0.412011     25847.     6.95417E-01     7.50742E-07     9.51991E-01
    986       0.412034     25845.     6.95337E-01     7.51123E-07     9.52046E-01
    985       0.412058     25842.     6.95256E-01     7.51503E-07     9.52100E-01
