
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1184       0.254442     16480.     5.29365E+00     1.98802E-06     9.41767E-01
  1183       0.254456     16478.     5.29399E+00     1.98931E-06     9.41821E-01
  1182       0.254471     16476.     5.29433E+00     1.99060E-06     9.41875E-01
  1181       0.254486     16474.     5.29466E+00     1.99188E-06     9.41929E-01
  1180       0.254500     16472.     5.29499E+00     1.99316E-06     9.41982E-01
  1179       0.254515     16470.     5.29531E+00     1.99445E-06     9.42036E-01
  1178       0.254529     16468.     5.29563E+00     1.99573E-06     9.42090E-01
  1177       0.254544     16466.     5.29594E+00     1.99701E-06     9.42144E-01
  1176       0.254558     16464.     5.29624E+00     1.99829E-06     9.42198E-01
  1175       0.254573     16462.     5.29655E+00     1.99956E-06     9.42252E-01
  1174       0.254587     16460.     5.29684E+00     2.00084E-06     9.42305E-01
  1173       0.254602     16458.     5.29713E+00     2.00212E-06     9.42359E-01
  1172       0.254616     16456.     5.29742E+00     2.00339E-06     9.42413E-01
  1171       0.254631     16454.     5.29770E+00     2.00467E-06     9.42467E-01
  1170       0.254646     16452.     5.29798E+00     2.00594E-06     9.42521E-01
  1169       0.254660     16450.     5.29825E+00     2.00721E-06     9.42575E-01
  1168       0.254675     16448.     5.29851E+00     2.00848E-06     9.42629E-01
  1167       0.254689     16446.     5.29878E+00     2.00975E-06     9.42682E-01
  1166       0.254704     16444.     5.29903E+00     2.01102E-06     9.42736E-01
  1165       0.254718     16442.     5.29928E+00     2.01229E-06     9.42790E-01
  1164       0.254733     16440.     5.29953E+00     2.01356E-06     9.42844E-01
  1163       0.254747     16438.     5.29977E+00     2.01483E-06     9.42898E-01
  1162       0.254762     16436.     5.30000E+00     2.01609E-06     9.42952E-01
  1161       0.254777     16434.     5.30023E+00     2.01736E-06     9.43006E-01
  1160       0.254791     16432.     5.30046E+00     2.01862E-06     9.43060E-01
  1159       0.254806     16430.     5.30068E+00     2.01988E-06     9.43113E-01
  1158       0.254820     16428.     5.30089E+00     2.02114E-06     9.43167E-01
  1157       0.254835     16426.     5.30110E+00     2.02240E-06     9.43221E-01
  1156       0.254849     16424.     5.30131E+00     2.02366E-06     9.43275E-01
  1155       0.254864     16422.     5.30151E+00     2.02492E-06     9.43329E-01
  1154       0.254878     16420.     5.30170E+00     2.02618E-06     9.43383E-01
  1153       0.254893     16418.     5.30189E+00     2.02744E-06     9.43437E-01
  1152       0.254908     16416.     5.30207E+00     2.02869E-06     9.43491E-01
  1151       0.254922     16414.     5.30225E+00     2.02995E-06     9.43545E-01
  1150       0.254937     16412.     5.30243E+00     2.03120E-06     9.43599E-01
  1149       0.254951     16410.     5.30260E+00     2.03246E-06     9.43652E-01
  1148       0.254966     16409.     5.30276E+00     2.03371E-06     9.43706E-01
  1147       0.254980     16407.     5.30292E+00     2.03496E-06     9.43760E-01
  1146       0.254995     16405.     5.30307E+00     2.03621E-06     9.43814E-01
  1145       0.255010     16403.     5.30322E+00     2.03746E-06     9.43868E-01
  1144       0.255024     16401.     5.30337E+00     2.03871E-06     9.43922E-01
  1143       0.255039     16399.     5.30350E+00     2.03996E-06     9.43976E-01
  1142       0.255053     16397.     5.30364E+00     2.04120E-06     9.44030E-01
  1141       0.255068     16395.     5.30377E+00     2.04245E-06     9.44084E-01
  1140       0.255082     16393.     5.30389E+00     2.04369E-06     9.44138E-01
  1139       0.255097     16391.     5.30401E+00     2.04494E-06     9.44192E-01
  1138       0.255112     16389.     5.30412E+00     2.04618E-06     9.44246E-01
  1137       0.255126     16387.     5.30423E+00     2.04742E-06     9.44300E-01
  1136       0.255141     16385.     5.30433E+00     2.04866E-06     9.44354E-01
  1135       0.255155     16383.     5.30443E+00     2.04990E-06     9.44408E-01
  1134       0.255170     16382.     5.30453E+00     2.05114E-06     9.44462E-01
  1133       0.255185     16380.     5.30462E+00     2.05238E-06     9.44516E-01
  1132       0.255199     16378.     5.30470E+00     2.05362E-06     9.44570E-01
  1131       0.255214     16376.     5.30478E+00     2.05485E-06     9.44624E-01
  1130       0.255228     16374.     5.30485E+00     2.05609E-06     9.44678E-01
  1129       0.255243     16372.     5.30492E+00     2.05732E-06     9.44732E-01
  1128       0.255257     16370.     5.30498E+00     2.05856E-06     9.44786E-01
  1127       0.255272     16368.     5.30504E+00     2.05979E-06     9.44840E-01
  1126       0.255287     16366.     5.30509E+00     2.06102E-06     9.44894E-01
  1125       0.255301     16365.     5.30514E+00     2.06225E-06     9.44948E-01
  1124       0.255316     16363.     5.30518E+00     2.06348E-06     9.45002E-01
  1123       0.255330     16361.     5.30522E+00     2.06471E-06     9.45056E-01
  1122       0.255345     16359.     5.30526E+00     2.06594E-06     9.45110E-01
  1121       0.255360     16357.     5.30528E+00     2.06717E-06     9.45164E-01
  1120       0.255374     16355.     5.30531E+00     2.06840E-06     9.45218E-01
  1119       0.255389     16353.     5.30532E+00     2.06962E-06     9.45272E-01
  1118       0.255403     16351.     5.30534E+00     2.07085E-06     9.45326E-01
  1117       0.255418     16349.     5.30535E+00     2.07207E-06     9.45380E-01
  1116       0.255433     16348.     5.30535E+00     2.07329E-06     9.45434E-01
  1115       0.255447     16346.     5.30535E+00     2.07451E-06     9.45488E-01
  1114       0.255462     16344.     5.30534E+00     2.07574E-06     9.45542E-01
  1113       0.255476     16342.     5.30533E+00     2.07696E-06     9.45596E-01
  1112       0.255491     16340.     5.30531E+00     2.07818E-06     9.45650E-01
  1111       0.255506     16338.     5.30529E+00     2.07939E-06     9.45704E-01
  1110       0.255520     16336.     5.30526E+00     2.08061E-06     9.45758E-01
  1109       0.255535     16335.     5.30523E+00     2.08183E-06     9.45812E-01
  1108       0.255549     16333.     5.30519E+00     2.08304E-06     9.45866E-01
  1107       0.255564     16331.     5.30515E+00     2.08426E-06     9.45920E-01
  1106       0.255579     16329.     5.30510E+00     2.08547E-06     9.45974E-01
  1105       0.255593     16327.     5.30505E+00     2.08669E-06     9.46028E-01
  1104       0.255608     16325.     5.30500E+00     2.08790E-06     9.46082E-01
  1103       0.255622     16323.     5.30493E+00     2.08911E-06     9.46136E-01
  1102       0.255637     16322.     5.30487E+00     2.09032E-06     9.46190E-01
  1101       0.255652     16320.     5.30479E+00     2.09153E-06     9.46244E-01
  1100       0.255666     16318.     5.30472E+00     2.09274E-06     9.46298E-01
  1099       0.255681     16316.     5.30464E+00     2.09395E-06     9.46352E-01
  1098       0.255695     16314.     5.30455E+00     2.09516E-06     9.46407E-01
  1097       0.255710     16312.     5.30446E+00     2.09636E-06     9.46461E-01
  1096       0.255725     16311.     5.30436E+00     2.09757E-06     9.46515E-01
