
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/amu.cm-3      p/dyn.cm-2   R/Rc
   128       0.355028      1654.     2.66129E+00     4.79756E-06     1.09967E+00
   127       0.355231      1653.     2.67128E+00     4.80283E-06     1.10030E+00
   126       0.355434      1653.     2.68127E+00     4.80812E-06     1.10093E+00
   125       0.355637      1652.     2.69126E+00     4.81343E-06     1.10156E+00
   124       0.355841      1651.     2.70126E+00     4.81877E-06     1.10219E+00
   123       0.356044      1651.     2.71126E+00     4.82412E-06     1.10282E+00
   122       0.356247      1650.     2.72126E+00     4.82950E-06     1.10345E+00
   121       0.356451      1650.     2.73126E+00     4.83489E-06     1.10408E+00
   120       0.356655      1649.     2.74127E+00     4.84031E-06     1.10471E+00
   119       0.356859      1648.     2.75129E+00     4.84575E-06     1.10534E+00
   118       0.357063      1648.     2.76131E+00     4.85121E-06     1.10597E+00
   117       0.357267      1647.     2.77133E+00     4.85668E-06     1.10660E+00
   116       0.357471      1646.     2.78136E+00     4.86218E-06     1.10724E+00
   115       0.357675      1646.     2.79140E+00     4.86771E-06     1.10787E+00
   114       0.357880      1645.     2.80144E+00     4.87325E-06     1.10850E+00
   113       0.358084      1645.     2.81148E+00     4.87881E-06     1.10914E+00
   112       0.358289      1644.     2.82153E+00     4.88440E-06     1.10977E+00
   111       0.358494      1643.     2.83159E+00     4.89001E-06     1.11040E+00
   110       0.358699      1643.     2.84165E+00     4.89564E-06     1.11104E+00
   109       0.358904      1642.     2.85173E+00     4.90129E-06     1.11167E+00
   108       0.359109      1642.     2.86180E+00     4.90696E-06     1.11231E+00
   107       0.359314      1641.     2.87189E+00     4.91266E-06     1.11295E+00
   106       0.359520      1640.     2.88198E+00     4.91837E-06     1.11358E+00
   105       0.359725      1640.     2.89208E+00     4.92411E-06     1.11422E+00
   104       0.359931      1639.     2.90218E+00     4.92988E-06     1.11485E+00
   103       0.360136      1639.     2.91230E+00     4.93566E-06     1.11549E+00
   102       0.360342      1638.     2.92242E+00     4.94147E-06     1.11613E+00
   101       0.360548      1638.     2.93255E+00     4.94730E-06     1.11677E+00
   100       0.360754      1637.     2.94269E+00     4.95315E-06     1.11741E+00
    99       0.360961      1636.     2.95284E+00     4.95903E-06     1.11804E+00
    98       0.361167      1636.     2.96300E+00     4.96492E-06     1.11868E+00
    97       0.361373      1635.     2.97317E+00     4.97085E-06     1.11932E+00
    96       0.361580      1635.     2.98334E+00     4.97679E-06     1.11996E+00
    95       0.361787      1634.     2.99353E+00     4.98276E-06     1.12060E+00
    94       0.361993      1634.     3.00372E+00     4.98875E-06     1.12124E+00
    93       0.362200      1633.     3.01393E+00     4.99477E-06     1.12188E+00
    92       0.362407      1633.     3.02414E+00     5.00081E-06     1.12253E+00
    91       0.362614      1632.     3.03437E+00     5.00687E-06     1.12317E+00
    90       0.362822      1631.     3.04461E+00     5.01296E-06     1.12381E+00
    89       0.363029      1631.     3.05485E+00     5.01907E-06     1.12445E+00
    88       0.363237      1630.     3.06511E+00     5.02521E-06     1.12509E+00
    87       0.363444      1630.     3.07538E+00     5.03137E-06     1.12574E+00
    86       0.363652      1629.     3.08567E+00     5.03755E-06     1.12638E+00
    85       0.363860      1629.     3.09596E+00     5.04376E-06     1.12702E+00
    84       0.364068      1628.     3.10626E+00     5.05000E-06     1.12767E+00
    83       0.364276      1628.     3.11658E+00     5.05626E-06     1.12831E+00
    82       0.364484      1627.     3.12691E+00     5.06254E-06     1.12896E+00
    81       0.364692      1627.     3.13725E+00     5.06885E-06     1.12960E+00
    80       0.364901      1626.     3.14761E+00     5.07519E-06     1.13025E+00
    79       0.365109      1626.     3.15798E+00     5.08155E-06     1.13090E+00
    78       0.365318      1625.     3.16836E+00     5.08794E-06     1.13154E+00
    77       0.365527      1625.     3.17875E+00     5.09435E-06     1.13219E+00
    76       0.365736      1624.     3.18916E+00     5.10079E-06     1.13284E+00
    75       0.365945      1624.     3.19958E+00     5.10725E-06     1.13348E+00
    74       0.366154      1623.     3.21002E+00     5.11374E-06     1.13413E+00
    73       0.366363      1623.     3.22047E+00     5.12026E-06     1.13478E+00
    72       0.366573      1622.     3.23093E+00     5.12681E-06     1.13543E+00
    71       0.366782      1622.     3.24141E+00     5.13338E-06     1.13608E+00
    70       0.366992      1621.     3.25191E+00     5.13998E-06     1.13673E+00
    69       0.367202      1621.     3.26242E+00     5.14660E-06     1.13738E+00
    68       0.367412      1621.     3.27294E+00     5.15325E-06     1.13803E+00
    67       0.367622      1620.     3.28348E+00     5.15993E-06     1.13868E+00
    66       0.367832      1620.     3.29403E+00     5.16664E-06     1.13933E+00
    65       0.368042      1619.     3.30461E+00     5.17338E-06     1.13998E+00
    64       0.368252      1619.     3.31519E+00     5.18014E-06     1.14063E+00
    63       0.368463      1618.     3.32580E+00     5.18693E-06     1.14128E+00
    62       0.368673      1618.     3.33642E+00     5.19375E-06     1.14193E+00
    61       0.368884      1617.     3.34705E+00     5.20060E-06     1.14259E+00
    60       0.369095      1617.     3.35771E+00     5.20748E-06     1.14324E+00
    59       0.369306      1617.     3.36838E+00     5.21438E-06     1.14389E+00
    58       0.369517      1616.     3.37907E+00     5.22132E-06     1.14455E+00
    57       0.369728      1616.     3.38977E+00     5.22828E-06     1.14520E+00
    56       0.369940      1615.     3.40049E+00     5.23528E-06     1.14586E+00
    55       0.370151      1615.     3.41123E+00     5.24230E-06     1.14651E+00
    54       0.370363      1614.     3.42199E+00     5.24935E-06     1.14717E+00
    53       0.370574      1614.     3.43277E+00     5.25643E-06     1.14782E+00
    52       0.370786      1614.     3.44357E+00     5.26355E-06     1.14848E+00
    51       0.370998      1613.     3.45438E+00     5.27069E-06     1.14914E+00
    50       0.371210      1613.     3.46522E+00     5.27786E-06     1.14979E+00
    49       0.371422      1612.     3.47607E+00     5.28507E-06     1.15045E+00
    48       0.371635      1612.     3.48694E+00     5.29230E-06     1.15111E+00
    47       0.371847      1612.     3.49784E+00     5.29957E-06     1.15177E+00
    46       0.372060      1611.     3.50875E+00     5.30687E-06     1.15242E+00
    45       0.372272      1611.     3.51968E+00     5.31420E-06     1.15308E+00
    44       0.372485      1610.     3.53063E+00     5.32156E-06     1.15374E+00
    43       0.372698      1610.     3.54161E+00     5.32895E-06     1.15440E+00
    42       0.372911      1610.     3.55260E+00     5.33637E-06     1.15506E+00
    41       0.373124      1609.     3.56362E+00     5.34383E-06     1.15572E+00
    40       0.373338      1609.     3.57465E+00     5.35132E-06     1.15638E+00
    39       0.373551      1609.     3.58571E+00     5.35884E-06     1.15704E+00
    38       0.373764      1608.     3.59679E+00     5.36640E-06     1.15770E+00
    37       0.373978      1608.     3.60789E+00     5.37399E-06     1.15837E+00
    36       0.374192      1608.     3.61901E+00     5.38161E-06     1.15903E+00
    35       0.374406      1607.     3.63016E+00     5.38927E-06     1.15969E+00
    34       0.374620      1607.     3.64133E+00     5.39696E-06     1.16035E+00
    33       0.374834      1606.     3.65252E+00     5.40468E-06     1.16102E+00
    32       0.375048      1606.     3.66373E+00     5.41244E-06     1.16168E+00
    31       0.375262      1606.     3.67497E+00     5.42023E-06     1.16234E+00
    30       0.375477      1605.     3.68623E+00     5.42806E-06     1.16301E+00
    29       0.375692      1605.     3.69751E+00     5.43592E-06     1.16367E+00
    28       0.375906      1605.     3.70882E+00     5.44382E-06     1.16434E+00
    27       0.376121      1605.     3.72015E+00     5.45175E-06     1.16500E+00
    26       0.376336      1604.     3.73151E+00     5.45972E-06     1.16567E+00
    25       0.376551      1604.     3.74289E+00     5.46772E-06     1.16634E+00
    24       0.376767      1604.     3.75430E+00     5.47577E-06     1.16700E+00
    23       0.376982      1603.     3.76573E+00     5.48384E-06     1.16767E+00
    22       0.377197      1603.     3.77719E+00     5.49196E-06     1.16834E+00
    21       0.377413      1603.     3.78867E+00     5.50011E-06     1.16900E+00
    20       0.377629      1602.     3.80018E+00     5.50830E-06     1.16967E+00
    19       0.377845      1602.     3.81171E+00     5.51652E-06     1.17034E+00
    18       0.378061      1602.     3.82327E+00     5.52479E-06     1.17101E+00
    17       0.378277      1602.     3.83486E+00     5.53309E-06     1.17168E+00
    16       0.378493      1601.     3.84647E+00     5.54143E-06     1.17235E+00
    15       0.378709      1601.     3.85811E+00     5.54981E-06     1.17302E+00
    14       0.378926      1601.     3.86978E+00     5.55823E-06     1.17369E+00
    13       0.379142      1600.     3.88147E+00     5.56668E-06     1.17436E+00
    12       0.379359      1600.     3.89320E+00     5.57518E-06     1.17503E+00
    11       0.379576      1600.     3.90495E+00     5.58371E-06     1.17570E+00
    10       0.379793      1600.     3.91673E+00     5.59229E-06     1.17638E+00
     9       0.380010      1599.     3.92854E+00     5.60091E-06     1.17705E+00
     8       0.380227      1599.     3.94037E+00     5.60956E-06     1.17772E+00
     7       0.380444      1599.     3.95224E+00     5.61826E-06     1.17839E+00
     6       0.380662      1599.     3.96414E+00     5.62700E-06     1.17907E+00
     5       0.380879      1598.     3.97606E+00     5.63578E-06     1.17974E+00
     4       0.381097      1598.     3.98802E+00     5.64460E-06     1.18042E+00
     1       0.381315      1598.     4.00000E+00     5.65346E-06     1.18109E+00
     1       0.381315         0.     1.00000E+00     0.00000E+00     1.18109E+00
     1       0.571972         0.     1.00000E+00     0.00000E+00     1.77164E+00
