
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/amu.cm-3      p/dyn.cm-2   R/Rc
   751       0.306422      1939.     5.43366E+00     3.15833E-06     9.49115E-01
   750       0.306457      1938.     5.43296E+00     3.16175E-06     9.49224E-01
   749       0.306492      1938.     5.43223E+00     3.16515E-06     9.49332E-01
   748       0.306527      1938.     5.43148E+00     3.16856E-06     9.49441E-01
   747       0.306562      1937.     5.43071E+00     3.17195E-06     9.49549E-01
   746       0.306597      1937.     5.42993E+00     3.17535E-06     9.49658E-01
   745       0.306632      1936.     5.42912E+00     3.17874E-06     9.49766E-01
   744       0.306667      1936.     5.42829E+00     3.18212E-06     9.49875E-01
   743       0.306702      1936.     5.42744E+00     3.18550E-06     9.49984E-01
   742       0.306737      1935.     5.42657E+00     3.18887E-06     9.50092E-01
   741       0.306772      1935.     5.42568E+00     3.19224E-06     9.50201E-01
   740       0.306807      1934.     5.42477E+00     3.19561E-06     9.50309E-01
   739       0.306842      1934.     5.42383E+00     3.19897E-06     9.50418E-01
   738       0.306877      1934.     5.42288E+00     3.20232E-06     9.50527E-01
   737       0.306912      1933.     5.42191E+00     3.20567E-06     9.50635E-01
   736       0.306947      1933.     5.42092E+00     3.20902E-06     9.50744E-01
   735       0.306983      1932.     5.41990E+00     3.21236E-06     9.50853E-01
   734       0.307018      1932.     5.41887E+00     3.21570E-06     9.50961E-01
   733       0.307053      1932.     5.41781E+00     3.21903E-06     9.51070E-01
   732       0.307088      1931.     5.41674E+00     3.22236E-06     9.51179E-01
   731       0.307123      1931.     5.41564E+00     3.22568E-06     9.51287E-01
   730       0.307158      1930.     5.41452E+00     3.22900E-06     9.51396E-01
   729       0.307193      1930.     5.41338E+00     3.23232E-06     9.51505E-01
   728       0.307228      1930.     5.41223E+00     3.23563E-06     9.51614E-01
   727       0.307263      1929.     5.41105E+00     3.23893E-06     9.51722E-01
   726       0.307298      1929.     5.40985E+00     3.24223E-06     9.51831E-01
   725       0.307334      1928.     5.40863E+00     3.24553E-06     9.51940E-01
   724       0.307369      1928.     5.40739E+00     3.24882E-06     9.52049E-01
   723       0.307404      1928.     5.40612E+00     3.25211E-06     9.52157E-01
   722       0.307439      1927.     5.40484E+00     3.25539E-06     9.52266E-01
   721       0.307474      1927.     5.40354E+00     3.25867E-06     9.52375E-01
   720       0.307509      1926.     5.40221E+00     3.26194E-06     9.52484E-01
   719       0.307544      1926.     5.40087E+00     3.26521E-06     9.52593E-01
   718       0.307580      1926.     5.39950E+00     3.26848E-06     9.52702E-01
   717       0.307615      1925.     5.39811E+00     3.27174E-06     9.52811E-01
   716       0.307650      1925.     5.39671E+00     3.27499E-06     9.52919E-01
   715       0.307685      1924.     5.39528E+00     3.27824E-06     9.53028E-01
   714       0.307720      1924.     5.39383E+00     3.28149E-06     9.53137E-01
   713       0.307755      1924.     5.39236E+00     3.28473E-06     9.53246E-01
   712       0.307791      1923.     5.39087E+00     3.28797E-06     9.53355E-01
   711       0.307826      1923.     5.38935E+00     3.29120E-06     9.53464E-01
   710       0.307861      1923.     5.38782E+00     3.29443E-06     9.53573E-01
   709       0.307896      1922.     5.38627E+00     3.29766E-06     9.53682E-01
   708       0.307931      1922.     5.38469E+00     3.30088E-06     9.53791E-01
   707       0.307966      1921.     5.38310E+00     3.30409E-06     9.53900E-01
   706       0.308002      1921.     5.38148E+00     3.30731E-06     9.54009E-01
   705       0.308037      1921.     5.37984E+00     3.31051E-06     9.54118E-01
   704       0.308072      1920.     5.37818E+00     3.31372E-06     9.54227E-01
   703       0.308107      1920.     5.37650E+00     3.31691E-06     9.54336E-01
   702       0.308143      1920.     5.37480E+00     3.32011E-06     9.54445E-01
   701       0.308178      1919.     5.37308E+00     3.32330E-06     9.54554E-01
   700       0.308213      1919.     5.37133E+00     3.32648E-06     9.54664E-01
   699       0.308248      1918.     5.36957E+00     3.32966E-06     9.54773E-01
   698       0.308283      1918.     5.36778E+00     3.33284E-06     9.54882E-01
   697       0.308319      1918.     5.36597E+00     3.33601E-06     9.54991E-01
   696       0.308354      1917.     5.36414E+00     3.33918E-06     9.55100E-01
   695       0.308389      1917.     5.36229E+00     3.34234E-06     9.55209E-01
   694       0.308424      1917.     5.36042E+00     3.34550E-06     9.55318E-01
   693       0.308460      1916.     5.35853E+00     3.34865E-06     9.55428E-01
   692       0.308495      1916.     5.35661E+00     3.35181E-06     9.55537E-01
   691       0.308530      1915.     5.35468E+00     3.35495E-06     9.55646E-01
   690       0.308565      1915.     5.35272E+00     3.35809E-06     9.55755E-01
   689       0.308601      1915.     5.35074E+00     3.36123E-06     9.55864E-01
   688       0.308636      1914.     5.34874E+00     3.36436E-06     9.55974E-01
   687       0.308671      1914.     5.34672E+00     3.36749E-06     9.56083E-01
   686       0.308706      1914.     5.34467E+00     3.37062E-06     9.56192E-01
   685       0.308742      1913.     5.34261E+00     3.37374E-06     9.56302E-01
   684       0.308777      1913.     5.34052E+00     3.37685E-06     9.56411E-01
   683       0.308812      1913.     5.33841E+00     3.37996E-06     9.56520E-01
   682       0.308848      1912.     5.33628E+00     3.38307E-06     9.56629E-01
   681       0.308883      1912.     5.33413E+00     3.38617E-06     9.56739E-01
   680       0.308918      1911.     5.33196E+00     3.38927E-06     9.56848E-01
   679       0.308954      1911.     5.32976E+00     3.39236E-06     9.56958E-01
   678       0.308989      1911.     5.32754E+00     3.39545E-06     9.57067E-01
   677       0.309024      1910.     5.32530E+00     3.39854E-06     9.57176E-01
   676       0.309060      1910.     5.32304E+00     3.40162E-06     9.57286E-01
   675       0.309095      1910.     5.32076E+00     3.40470E-06     9.57395E-01
   674       0.309130      1909.     5.31846E+00     3.40777E-06     9.57505E-01
   673       0.309165      1909.     5.31613E+00     3.41084E-06     9.57614E-01
   672       0.309201      1909.     5.31378E+00     3.41390E-06     9.57723E-01
   671       0.309236      1908.     5.31141E+00     3.41696E-06     9.57833E-01
   670       0.309272      1908.     5.30902E+00     3.42002E-06     9.57942E-01
   669       0.309307      1908.     5.30660E+00     3.42307E-06     9.58052E-01
   668       0.309342      1907.     5.30416E+00     3.42612E-06     9.58161E-01
   667       0.309378      1907.     5.30170E+00     3.42916E-06     9.58271E-01
   666       0.309413      1906.     5.29922E+00     3.43220E-06     9.58380E-01
   665       0.309448      1906.     5.29672E+00     3.43523E-06     9.58490E-01
   664       0.309484      1906.     5.29419E+00     3.43826E-06     9.58599E-01
   663       0.309519      1905.     5.29164E+00     3.44129E-06     9.58709E-01
   662       0.309554      1905.     5.28907E+00     3.44431E-06     9.58819E-01
   661       0.309590      1905.     5.28648E+00     3.44733E-06     9.58928E-01
   660       0.309625      1904.     5.28386E+00     3.45034E-06     9.59038E-01
   659       0.309661      1904.     5.28122E+00     3.45335E-06     9.59147E-01
   658       0.309696      1904.     5.27856E+00     3.45635E-06     9.59257E-01
   657       0.309731      1903.     5.27588E+00     3.45935E-06     9.59367E-01
   656       0.309767      1903.     5.27317E+00     3.46235E-06     9.59476E-01
   655       0.309802      1903.     5.27044E+00     3.46534E-06     9.59586E-01
   654       0.309838      1902.     5.26769E+00     3.46833E-06     9.59696E-01
   653       0.309873      1902.     5.26491E+00     3.47131E-06     9.59805E-01
   652       0.309908      1902.     5.26212E+00     3.47429E-06     9.59915E-01
   651       0.309944      1901.     5.25929E+00     3.47727E-06     9.60025E-01
   650       0.309979      1901.     5.25645E+00     3.48024E-06     9.60134E-01
   649       0.310015      1901.     5.25358E+00     3.48320E-06     9.60244E-01
   648       0.310050      1900.     5.25069E+00     3.48616E-06     9.60354E-01
   647       0.310086      1900.     5.24778E+00     3.48912E-06     9.60464E-01
   646       0.310121      1900.     5.24485E+00     3.49208E-06     9.60573E-01
   645       0.310156      1899.     5.24189E+00     3.49503E-06     9.60683E-01
   644       0.310192      1899.     5.23891E+00     3.49797E-06     9.60793E-01
   643       0.310227      1899.     5.23590E+00     3.50091E-06     9.60903E-01
   642       0.310263      1898.     5.23287E+00     3.50385E-06     9.61013E-01
   641       0.310298      1898.     5.22982E+00     3.50678E-06     9.61122E-01
   640       0.310334      1897.     5.22674E+00     3.50971E-06     9.61232E-01
   639       0.310369      1897.     5.22365E+00     3.51263E-06     9.61342E-01
   638       0.310405      1897.     5.22052E+00     3.51555E-06     9.61452E-01
   637       0.310440      1896.     5.21738E+00     3.51847E-06     9.61562E-01
   636       0.310476      1896.     5.21421E+00     3.52138E-06     9.61672E-01
   635       0.310511      1896.     5.21101E+00     3.52429E-06     9.61782E-01
   634       0.310547      1895.     5.20780E+00     3.52719E-06     9.61892E-01
   633       0.310582      1895.     5.20456E+00     3.53009E-06     9.62002E-01
   632       0.310618      1895.     5.20129E+00     3.53298E-06     9.62112E-01
   631       0.310653      1894.     5.19800E+00     3.53587E-06     9.62222E-01
   630       0.310689      1894.     5.19469E+00     3.53876E-06     9.62332E-01
   629       0.310724      1894.     5.19135E+00     3.54164E-06     9.62441E-01
   628       0.310760      1893.     5.18799E+00     3.54452E-06     9.62551E-01
   627       0.310795      1893.     5.18461E+00     3.54739E-06     9.62662E-01
   626       0.310831      1893.     5.18120E+00     3.55026E-06     9.62772E-01
