
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1197       0.256275     16525.     5.09155E+00     1.96319E-06     9.43113E-01
  1196       0.256289     16523.     5.09176E+00     1.96442E-06     9.43167E-01
  1195       0.256304     16521.     5.09196E+00     1.96564E-06     9.43221E-01
  1194       0.256319     16519.     5.09216E+00     1.96687E-06     9.43275E-01
  1193       0.256333     16517.     5.09235E+00     1.96809E-06     9.43329E-01
  1192       0.256348     16515.     5.09254E+00     1.96931E-06     9.43383E-01
  1191       0.256363     16513.     5.09272E+00     1.97054E-06     9.43436E-01
  1190       0.256377     16511.     5.09290E+00     1.97176E-06     9.43490E-01
  1189       0.256392     16509.     5.09307E+00     1.97298E-06     9.43544E-01
  1188       0.256407     16507.     5.09324E+00     1.97420E-06     9.43598E-01
  1187       0.256421     16505.     5.09340E+00     1.97542E-06     9.43652E-01
  1186       0.256436     16503.     5.09356E+00     1.97663E-06     9.43706E-01
  1185       0.256451     16501.     5.09371E+00     1.97785E-06     9.43760E-01
  1184       0.256465     16499.     5.09386E+00     1.97907E-06     9.43814E-01
  1183       0.256480     16497.     5.09401E+00     1.98028E-06     9.43868E-01
  1182       0.256494     16495.     5.09414E+00     1.98149E-06     9.43922E-01
  1181       0.256509     16494.     5.09428E+00     1.98271E-06     9.43976E-01
  1180       0.256524     16492.     5.09441E+00     1.98392E-06     9.44030E-01
  1179       0.256538     16490.     5.09453E+00     1.98513E-06     9.44084E-01
  1178       0.256553     16488.     5.09465E+00     1.98634E-06     9.44138E-01
  1177       0.256568     16486.     5.09477E+00     1.98755E-06     9.44192E-01
  1176       0.256582     16484.     5.09488E+00     1.98876E-06     9.44245E-01
  1175       0.256597     16482.     5.09498E+00     1.98997E-06     9.44299E-01
  1174       0.256612     16480.     5.09508E+00     1.99117E-06     9.44353E-01
  1173       0.256626     16478.     5.09518E+00     1.99238E-06     9.44407E-01
  1172       0.256641     16476.     5.09527E+00     1.99358E-06     9.44461E-01
  1171       0.256656     16474.     5.09535E+00     1.99479E-06     9.44515E-01
  1170       0.256670     16472.     5.09543E+00     1.99599E-06     9.44569E-01
  1169       0.256685     16470.     5.09551E+00     1.99719E-06     9.44623E-01
  1168       0.256700     16468.     5.09558E+00     1.99839E-06     9.44677E-01
  1167       0.256714     16467.     5.09565E+00     1.99959E-06     9.44731E-01
  1166       0.256729     16465.     5.09571E+00     2.00079E-06     9.44785E-01
  1165       0.256744     16463.     5.09576E+00     2.00199E-06     9.44839E-01
  1164       0.256758     16461.     5.09582E+00     2.00319E-06     9.44893E-01
  1163       0.256773     16459.     5.09586E+00     2.00439E-06     9.44947E-01
  1162       0.256788     16457.     5.09590E+00     2.00558E-06     9.45001E-01
  1161       0.256802     16455.     5.09594E+00     2.00678E-06     9.45055E-01
  1160       0.256817     16453.     5.09597E+00     2.00797E-06     9.45109E-01
  1159       0.256832     16451.     5.09600E+00     2.00917E-06     9.45163E-01
  1158       0.256846     16449.     5.09603E+00     2.01036E-06     9.45217E-01
  1157       0.256861     16448.     5.09604E+00     2.01155E-06     9.45271E-01
  1156       0.256876     16446.     5.09606E+00     2.01274E-06     9.45325E-01
  1155       0.256891     16444.     5.09606E+00     2.01393E-06     9.45379E-01
  1154       0.256905     16442.     5.09607E+00     2.01512E-06     9.45433E-01
  1153       0.256920     16440.     5.09607E+00     2.01631E-06     9.45487E-01
  1152       0.256935     16438.     5.09606E+00     2.01749E-06     9.45541E-01
  1151       0.256949     16436.     5.09605E+00     2.01868E-06     9.45595E-01
  1150       0.256964     16434.     5.09603E+00     2.01987E-06     9.45649E-01
  1149       0.256979     16433.     5.09601E+00     2.02105E-06     9.45703E-01
  1148       0.256993     16431.     5.09599E+00     2.02224E-06     9.45757E-01
  1147       0.257008     16429.     5.09596E+00     2.02342E-06     9.45812E-01
  1146       0.257023     16427.     5.09592E+00     2.02460E-06     9.45866E-01
  1145       0.257037     16425.     5.09588E+00     2.02578E-06     9.45920E-01
  1144       0.257052     16423.     5.09584E+00     2.02696E-06     9.45974E-01
  1143       0.257067     16421.     5.09579E+00     2.02814E-06     9.46028E-01
  1142       0.257081     16420.     5.09574E+00     2.02932E-06     9.46082E-01
  1141       0.257096     16418.     5.09568E+00     2.03050E-06     9.46136E-01
  1140       0.257111     16416.     5.09561E+00     2.03168E-06     9.46190E-01
  1139       0.257126     16414.     5.09555E+00     2.03285E-06     9.46244E-01
  1138       0.257140     16412.     5.09547E+00     2.03403E-06     9.46298E-01
  1137       0.257155     16410.     5.09539E+00     2.03520E-06     9.46352E-01
  1136       0.257170     16408.     5.09531E+00     2.03638E-06     9.46406E-01
  1135       0.257184     16407.     5.09522E+00     2.03755E-06     9.46460E-01
  1134       0.257199     16405.     5.09513E+00     2.03872E-06     9.46514E-01
  1133       0.257214     16403.     5.09503E+00     2.03989E-06     9.46568E-01
  1132       0.257228     16401.     5.09493E+00     2.04106E-06     9.46623E-01
  1131       0.257243     16399.     5.09483E+00     2.04223E-06     9.46677E-01
  1130       0.257258     16397.     5.09471E+00     2.04340E-06     9.46731E-01
  1129       0.257272     16396.     5.09460E+00     2.04457E-06     9.46785E-01
  1128       0.257287     16394.     5.09448E+00     2.04573E-06     9.46839E-01
  1127       0.257302     16392.     5.09435E+00     2.04690E-06     9.46893E-01
  1126       0.257317     16390.     5.09422E+00     2.04807E-06     9.46947E-01
  1125       0.257331     16388.     5.09408E+00     2.04923E-06     9.47001E-01
  1124       0.257346     16387.     5.09394E+00     2.05039E-06     9.47055E-01
  1123       0.257361     16385.     5.09380E+00     2.05156E-06     9.47110E-01
  1122       0.257375     16383.     5.09365E+00     2.05272E-06     9.47164E-01
  1121       0.257390     16381.     5.09349E+00     2.05388E-06     9.47218E-01
  1120       0.257405     16379.     5.09334E+00     2.05504E-06     9.47272E-01
  1119       0.257420     16377.     5.09317E+00     2.05620E-06     9.47326E-01
  1118       0.257434     16376.     5.09300E+00     2.05736E-06     9.47380E-01
  1117       0.257449     16374.     5.09283E+00     2.05852E-06     9.47434E-01
  1116       0.257464     16372.     5.09265E+00     2.05967E-06     9.47488E-01
