
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1591       0.254130     16332.     5.44402E+00     2.08244E-06     9.44136E-01
  1590       0.254144     16330.     5.44414E+00     2.08370E-06     9.44190E-01
  1589       0.254159     16328.     5.44426E+00     2.08497E-06     9.44244E-01
  1588       0.254173     16326.     5.44437E+00     2.08623E-06     9.44298E-01
  1587       0.254188     16324.     5.44447E+00     2.08750E-06     9.44352E-01
  1586       0.254202     16322.     5.44457E+00     2.08876E-06     9.44406E-01
  1585       0.254217     16320.     5.44467E+00     2.09002E-06     9.44460E-01
  1584       0.254231     16319.     5.44476E+00     2.09129E-06     9.44514E-01
  1583       0.254246     16317.     5.44485E+00     2.09255E-06     9.44568E-01
  1582       0.254261     16315.     5.44493E+00     2.09381E-06     9.44622E-01
  1581       0.254275     16313.     5.44500E+00     2.09506E-06     9.44676E-01
  1580       0.254290     16311.     5.44507E+00     2.09632E-06     9.44730E-01
  1579       0.254304     16309.     5.44513E+00     2.09758E-06     9.44784E-01
  1578       0.254319     16307.     5.44519E+00     2.09884E-06     9.44838E-01
  1577       0.254333     16305.     5.44525E+00     2.10009E-06     9.44892E-01
  1576       0.254348     16303.     5.44530E+00     2.10134E-06     9.44946E-01
  1575       0.254362     16302.     5.44534E+00     2.10260E-06     9.45000E-01
  1574       0.254377     16300.     5.44538E+00     2.10385E-06     9.45054E-01
  1573       0.254391     16298.     5.44541E+00     2.10510E-06     9.45108E-01
  1572       0.254406     16296.     5.44544E+00     2.10635E-06     9.45162E-01
  1571       0.254420     16294.     5.44547E+00     2.10760E-06     9.45216E-01
  1570       0.254435     16292.     5.44548E+00     2.10885E-06     9.45270E-01
  1569       0.254449     16290.     5.44550E+00     2.11010E-06     9.45324E-01
  1568       0.254464     16288.     5.44550E+00     2.11134E-06     9.45378E-01
  1567       0.254479     16287.     5.44551E+00     2.11259E-06     9.45432E-01
  1566       0.254493     16285.     5.44550E+00     2.11384E-06     9.45486E-01
  1565       0.254508     16283.     5.44550E+00     2.11508E-06     9.45540E-01
  1564       0.254522     16281.     5.44548E+00     2.11632E-06     9.45594E-01
  1563       0.254537     16279.     5.44547E+00     2.11756E-06     9.45648E-01
  1562       0.254551     16277.     5.44544E+00     2.11881E-06     9.45702E-01
  1561       0.254566     16275.     5.44542E+00     2.12005E-06     9.45756E-01
  1560       0.254580     16274.     5.44538E+00     2.12129E-06     9.45810E-01
  1559       0.254595     16272.     5.44534E+00     2.12252E-06     9.45864E-01
  1558       0.254609     16270.     5.44530E+00     2.12376E-06     9.45918E-01
  1557       0.254624     16268.     5.44525E+00     2.12500E-06     9.45972E-01
  1556       0.254639     16266.     5.44520E+00     2.12624E-06     9.46026E-01
  1555       0.254653     16264.     5.44514E+00     2.12747E-06     9.46080E-01
  1554       0.254668     16263.     5.44508E+00     2.12870E-06     9.46135E-01
  1553       0.254682     16261.     5.44501E+00     2.12994E-06     9.46189E-01
  1552       0.254697     16259.     5.44493E+00     2.13117E-06     9.46243E-01
  1551       0.254711     16257.     5.44485E+00     2.13240E-06     9.46297E-01
  1550       0.254726     16255.     5.44477E+00     2.13363E-06     9.46351E-01
  1549       0.254740     16253.     5.44468E+00     2.13486E-06     9.46405E-01
  1548       0.254755     16252.     5.44458E+00     2.13609E-06     9.46459E-01
  1547       0.254770     16250.     5.44449E+00     2.13732E-06     9.46513E-01
  1546       0.254784     16248.     5.44438E+00     2.13855E-06     9.46567E-01
  1545       0.254799     16246.     5.44427E+00     2.13977E-06     9.46621E-01
  1544       0.254813     16244.     5.44416E+00     2.14100E-06     9.46675E-01
  1543       0.254828     16243.     5.44403E+00     2.14222E-06     9.46729E-01
  1542       0.254842     16241.     5.44391E+00     2.14345E-06     9.46784E-01
  1541       0.254857     16239.     5.44378E+00     2.14467E-06     9.46838E-01
  1540       0.254871     16237.     5.44364E+00     2.14589E-06     9.46892E-01
  1539       0.254886     16235.     5.44350E+00     2.14711E-06     9.46946E-01
  1538       0.254901     16233.     5.44336E+00     2.14833E-06     9.47000E-01
  1537       0.254915     16232.     5.44321E+00     2.14955E-06     9.47054E-01
  1536       0.254930     16230.     5.44305E+00     2.15077E-06     9.47108E-01
  1535       0.254944     16228.     5.44289E+00     2.15199E-06     9.47162E-01
  1534       0.254959     16226.     5.44272E+00     2.15320E-06     9.47216E-01
  1533       0.254973     16225.     5.44255E+00     2.15442E-06     9.47271E-01
  1532       0.254988     16223.     5.44237E+00     2.15564E-06     9.47325E-01
  1531       0.255003     16221.     5.44219E+00     2.15685E-06     9.47379E-01
  1530       0.255017     16219.     5.44201E+00     2.15806E-06     9.47433E-01
  1529       0.255032     16217.     5.44181E+00     2.15928E-06     9.47487E-01
  1528       0.255046     16216.     5.44162E+00     2.16049E-06     9.47541E-01
