1.00
1.40
0.10
  1251
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
   1108       0.419551     27110.     5.73983E-01     5.89180E-07     9.42467E-01
   1107       0.419575     27107.     5.74013E-01     5.89554E-07     9.42521E-01
   1106       0.419599     27104.     5.74043E-01     5.89929E-07     9.42574E-01
   1105       0.419623     27100.     5.74072E-01     5.90302E-07     9.42628E-01
   1104       0.419647     27097.     5.74100E-01     5.90676E-07     9.42682E-01
   1103       0.419671     27094.     5.74128E-01     5.91049E-07     9.42736E-01
   1102       0.419695     27091.     5.74155E-01     5.91422E-07     9.42790E-01
   1101       0.419719     27087.     5.74182E-01     5.91795E-07     9.42844E-01
   1100       0.419743     27084.     5.74208E-01     5.92167E-07     9.42898E-01
   1099       0.419767     27081.     5.74234E-01     5.92539E-07     9.42951E-01
   1098       0.419791     27078.     5.74259E-01     5.92911E-07     9.43005E-01
   1097       0.419815     27074.     5.74283E-01     5.93283E-07     9.43059E-01
   1096       0.419839     27071.     5.74307E-01     5.93654E-07     9.43113E-01
   1095       0.419863     27068.     5.74330E-01     5.94025E-07     9.43167E-01
   1094       0.419887     27065.     5.74353E-01     5.94396E-07     9.43221E-01
   1093       0.419911     27061.     5.74375E-01     5.94766E-07     9.43275E-01
   1092       0.419935     27058.     5.74397E-01     5.95136E-07     9.43329E-01
   1091       0.419959     27055.     5.74418E-01     5.95506E-07     9.43383E-01
   1090       0.419983     27052.     5.74439E-01     5.95876E-07     9.43437E-01
   1089       0.420007     27048.     5.74459E-01     5.96245E-07     9.43490E-01
   1088       0.420031     27045.     5.74479E-01     5.96614E-07     9.43544E-01
   1087       0.420055     27042.     5.74498E-01     5.96983E-07     9.43598E-01
   1086       0.420079     27039.     5.74516E-01     5.97351E-07     9.43652E-01
   1085       0.420103     27036.     5.74534E-01     5.97720E-07     9.43706E-01
   1084       0.420127     27032.     5.74551E-01     5.98087E-07     9.43760E-01
   1083       0.420151     27029.     5.74568E-01     5.98455E-07     9.43814E-01
   1082       0.420175     27026.     5.74584E-01     5.98822E-07     9.43868E-01
   1081       0.420199     27023.     5.74600E-01     5.99190E-07     9.43922E-01
   1080       0.420223     27020.     5.74615E-01     5.99556E-07     9.43976E-01
   1079       0.420247     27016.     5.74630E-01     5.99923E-07     9.44030E-01
   1078       0.420271     27013.     5.74644E-01     6.00289E-07     9.44084E-01
   1077       0.420295     27010.     5.74657E-01     6.00655E-07     9.44138E-01
   1076       0.420319     27007.     5.74670E-01     6.01021E-07     9.44192E-01
   1075       0.420343     27004.     5.74683E-01     6.01386E-07     9.44246E-01
   1074       0.420367     27001.     5.74694E-01     6.01752E-07     9.44300E-01
   1073       0.420391     26997.     5.74706E-01     6.02117E-07     9.44353E-01
   1072       0.420415     26994.     5.74716E-01     6.02481E-07     9.44407E-01
   1071       0.420439     26991.     5.74727E-01     6.02846E-07     9.44461E-01
   1070       0.420463     26988.     5.74736E-01     6.03210E-07     9.44515E-01
   1069       0.420487     26985.     5.74745E-01     6.03573E-07     9.44569E-01
